Short Name,Full Name,Year,Term,Faculty,Course Types,Credits,Instructors,TAs,Assessment count,Session count,Course outcomes: all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 452 (LEC A1 Fa16),PHARM 452 PHARM PRACTICE-DESIGN&FUNCTION (LEC A1 Fa16),2017,Fall,Faculty of Pharmacy and Pharmaceutical Sciences,BSc in Pharmacy,3,Cheryl Sadowski,,7,14,"Identify health, medication management and safety needs for patients.",Identify aspects of design that impact patient ability to manage medications.,Consider disease and functional/disability information as relevant to the specific design needs. ,Describe features of universal design.,Classify forms of disability and identify functional supports associated with those disabilities.,"Explain the current approach to pharmacy visits for individuals with disabilities, as completed by Alberta Committee on Citizens with Disabilities (ACCD).","Develop design features that ensure patients’ medication access, safety, health and medication management/monitoring","Demonstrate patient/client-centered (individual, family, community group) approach in design.","Develop writing and presentation skills (oral, written) to demonstrate effectively the team’s final design in front of peers, clients, or experts in design and health services.",Actively listen and engage in negotiation with clients to effectively plan the approach for the project.,"Professional Roles a.	Share and evaluate own professional values and culture (translates knowledge to team members) b.	Articulate and share knowledge of other professional roles c.	Consult, seeks advice and confer with other professionals d.	Adapt professional role within a given context/ environment","Communication  a.	Integrate feedback into professional and team practice b.	Match level and mode of communication to the needs of team members c.	Actively listen and be receptive to the knowledge and opinions of others d.	Analyze conflict effectively and employ appropriate conflict resolution techniques/models e.	Develop presentations that consider the audience background, context, and learning needs","Collaboration a.	Identify and employ appropriate technologies to facilitate collaboration b.	Employ appropriate team role behaviours to support team function c.	Takes action in instances where there is a lack of inclusivity, respect, or trust on the team d.	Identify opportunities to improve team outcomes  e.	Negotiate action with team members to plan and execute team tasks","Reflection a.	Takes action based on reflection to improve personal and team performance  b.	Reflect on pharmacists’ contribution to the process. c.	Explore strengths and weaknesses in team composition and process","Express empathy for those experiencing disabilities, impairments, or handicaps.",Listen to others with respect.,Appreciates the role of advocacy for those who are vulnerable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 417 (Fall 2017 LEC A1 SEM E1),PHARM 417 Fall 2017 - NEUROLOGY,2017,Fall,Cross Listed Courses,"Therapeutics,, BSc in Pharmacy, 3rd year",2.5,Sherif Mahmoud,,3,25,"Describe the physiology of the spinal reflexes, somatosensory system, motor control and higher nervous function.",Identify the role and the responsibility of the pharmacist within the course of the disease state and its therapy.,"Describe the epidemiology, etiology, and risk factors of the conditions of primary focus.",Describe the clinical presentation and symptomatology of the conditions of primary focus.,"Explain the anatomy of the central, peripheral and autonomic nervous system, cranial nerves and sensory and motor system",Describe the laboratory tests used in the diagnosis and monitoring of the conditions of primary focus.,Describe the long term health consequences of the conditions of primary focus.,Describe the pathophysiology of the conditions of primary focus.,"Describe the therapeutic approach incorporating non-pharmacologic and pharmacologic treatments for the conditions of primary focus, including use of specific target drugs for condition as well as alternative therapies (including dose, route of administration, duration of therapy, monitoring parameters)","Apply concepts and knowledge of medicinal chemistry, pharmacology/toxicology, and therapeutic principles in selecting and monitoring drug therapy for the management of the conditions of primary focus.",Apply pharmacokinetic and pharmacodynamic principles to the treatment of the conditions of primary focus.,Describe the societal and economic impact of the conditions of primary focus.,Appreciate the interdisciplinary approach to management of the conditions of primary focus.,Identify ethical issues surrounding treatment of the conditions of primary focus,Summarize the impact on and care for patients with rare neurologic disorders.,Utilize an evidence-based approach to therapeutic management of the conditions of primary focus.,"Design pharmaceutical care plans including alternatives (drug, non-drug, referral, reassurance), recommendations, implementation, monitoring and follow up for patients with the conditions of primary focus.",Identify and locate sources of information needed to solve drug-related problems,Identify when to inform caregivers and other members of the health care team if there are danger signs apparent in the assessment.,Identify presenting symptoms that would be integrated into a triage approach for patients.,"Select appropriate treatment for special groups (e.g. pediatrics, geriatrics, pregnancy, lactation)",Identify actual and potential drug-related problems relating to of the conditions of primary focus in patient case studies.,Identify clinically significant drug interactions with drugs used to treat the conditions of primary focus.,Synthesize information gained from various literature resources to solve problems or make recommendations,Calculate and apply the applicable pharmacokinetic parameters to monitor patients using these medications.,Utilize self-directed learning abilities.,"For each of the conditions described the student should: review the presenting signs and symptoms of the conditions of primary focus, and describe criteria used to make the diagnosis and to be able to relate the severity of the disease; discuss the therapeutic options with peers, including risks and benefits, and medication and alternative therapy choices; recommend appropriate monitoring parameters; recommend appropriate changes to therapy based on patient outcomes and monitoring parameters","Develop a caring, empathic attitude for patients experiencing the conditions of primary focus.",Develop an appreciation for advocacy required for individuals with neurologic disorders.,Appreciate the roles of members of the healthcare team in caring for patients with neurologic conditions,Accept responsibility for keeping abreast of emerging technologies and drugs.,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 397 (Fall 2017 LEC A1 A2 SEM E1 E2),"PHARM 397 Fa17 - VALUES, UROLOGY & NEPHROLOGY Combined LEC SEM Fa17",2017,Fall,Cross Listed Courses,"Therapeutics,, BSc in Pharmacy, 2nd year",2,Ravina Sanghera,,5,27,"Describe the anatomy of the kidney, ureters, bladder, and urethra.","Describe the physiology of the ureters, bladder and urethra including a general outline of bladder function and micturition.","Describe the physiology of the kidney including regulation of glomerular filtration, sodium/water balance, fluid balance, acid-base balance as well as other electrolytes, tubular reabsorption and secretion.","Explain the major functions and consequences of disturbances of: sodium, potassium, magnesium, calcium, and phosphate.","Describe the etiology, pathophysiology, clinical presentation, and compensatory mechanism of the four acid-base disorders.","Describe the pathophysiology of renal disorders including acute kidney injury, chronic kidney disease, nephrolithiasis, and incontinence including clinical presentation and symptomatology and long term health consequences","Describe the epidemiology, etiology, and risk factors of the following: renal disorders including acute kidney injury, nephrolithiasis, Chronic Kidney Disease, and LUTS.","Explain and interpret pertinent serum chemistry laboratory values, as well as specific laboratory tests used in the diagnosis and monitoring of acute kidney injury, chronic kidney disease, nephrolithiasis, and lower urinary tract symptoms (LUTS).",Identify the role and the responsibility of the pharmacist within the course of the disease state and its therapy.,"Describe the therapeutic approach incorporating non-pharmacologic and pharmacologic treatments for electrolyte disorders, acid-base disorders, acute kidney injury, chronic kidney disease, nephrolithiasis, and LUTS including use of specific target drugs for the condition as well as alternative therapies (dose, route of administration, length of therapy, monitoring parameters).","Explain the effects of drugs used in the management of electrolyte disorders, acute kidney injury, chronic kidney disease, nephrolithiasis, and LUTS.","Identify medications which can cause renal toxicity, and describe the appropriate management.","Describe the principles of the various Renal Replacement Therapies (Hemodialysis, Peritoneal Dialysis, and Continuous Renal Replacement Therapy). ",Describe the societal and economic impact of LUTS,"Explain the interdisciplinary approach to acute kidney injury, chronic kidney disease nephrolithiasis, and LUTS management.","Assess fluid balance based on medical history as well as presenting signs and symptoms, and recommend appropriate management of the patient.",Calculate creatinine clearance and adjust doses for medications that are renally eliminated.,"Identify the presenting signs and symptoms of electrolyte disorders, acid-base disorders, acute kidney injury, chronic kidney disease, nephrolithiasis, and LUTS and describe criteria used to make the diagnosis.",Identify when to inform physicians and caregivers if there are danger signs apparent in the assessment.,Assess lab data in order to manage medical condition and medication regimen.  ,"Discuss the therapeutic options, including risks and benefits, and medication and alternative therapy choices.",Identify appropriate monitoring parameters.,Recommend appropriate changes to therapy based on patient outcomes and monitoring parameters.,"Apply concepts and knowledge of pharmacology and therapeutic principles in selecting and monitoring drug therapy for the management of electrolyte disorders (hyper/hyponatremia, hyper/hypokalemia), acid-base disorders, acute kidney injury, chronic kidney disease nephrolithiasis, and LUTS.",Describe how to triage a given patient in a community setting and identify when to refer them to medical attention as appropriate.,"Design pharmaceutical care plans including alternatives (drug, non-drug), recommendations, implementation, monitoring and follow up for patients with electrolyte disorders, acute kidney injury, nephrolithiasis, and LUTS",For each of the conditions described the student should:," Identify actual and potential drug-related problems relating to electrolyte disorders, acute kidney injury, chronic kidney disease, nephrolithiasis, and LUTS in patient cases.",Identify and locate sources of information needed to solve drug-related problems ,"Utilize an evidence-based approach to therapeutic management of electrolyte disorders, acid-base disorders, acute renal failure, chronic kidney disease, nephrolithiasis, and LUTS.","Identify actual and potential drug-related problems relating to electrolyte disorders, acute kidney injury, chronic kidney disease, nephrolithiasis, and LUTS in patient cases.",Accept responsibility for keeping abreast of emerging technologies and drugs,"Develop a caring, empathic attitude for patients experiencing the conditions of primary focus. ",Work effectively within the healthcare team.,Develop an appreciation of the interdisciplinary nature of patient care.,,,,,,,,,,,,,,,,,,,,,,,
PHARM 311 (LEC A1 Fa17),PHARM 311 RADIOPHARM/DIAGNOSTIC IMAGING (LEC A1 Fa17),2017,Fall,Faculty of Pharmacy and Pharmaceutical Sciences,BSc in Pharmacy,1,Arno G. Siraki,,4,14,"This module has been designed to familiarize pharmacy students with basic principles of diagnostic imaging, with emphasis on the use of radiation and radioactive drugs and contrast agents in medical diagnosis and therapy. The biological effects of radiation are presented from the viewpoint of a pharmacist's perspective as a health sciences team member.","Following this course, students should be able to interpret the labels on radiopharmaceuticals; perform simple calculations related to radioactive decay.",To consider the various types of radiation and their characteristics and interactions with matter from the viewpoint of how these factors: Influence the utility of different radiations for clinical diagnosis or for therapy; Can present a health hazard from improper use or handling; Determine the methods of radiation detection and measurement,To present the basic principles underlying the biological effects observed with exposure to various levels of radioactivity.,To illustrate the rationale for the use of radioactive drugs and contrast agents for diagnosis by discussing: the various agents presently available from commercial suppliers; the physiological basis of their utility and clinical applications; their formulation and manufacture; methods of quality control and dispensing and inventory control. The use of radioactive drugs for therapy will be examined.,"To illustrate ""radiopharmaceutical kits"", and radionuclide generators for daily preparation of short-lived radiopharmaceuticals in a hospital.",To indicate the levels of radiation dose received from common radiopharmaceutical diagnostic procedures and the inherent dangers with contrast materials and to place these into a benefit vs. risk concept.,"To develop a basic understanding of the contemporary diagnostic imaging modalities, including nuclear medicine imaging, x-ray, CT, ultrasound, and MRI, and an understanding of the nature of the clinical information provided by each modality","To acquaint students with basic physical fundamentals regarding concepts of radioactivity, rates and types of radioactive decay; units of radiation; biological effects of radiation – toxicity and therapy; free radical formation and detoxification; diagnostic imaging techniques, instrumentation, and utilization of radiopharmaceuticals.","This course will provide pharmacists with fundamental knowledge of contemporary clinical imaging modalities, including the use of radiopharmaceuticals and contrast agents in clinical diagnosis and therapy. Such a basic understanding will enable pharmacists, as members of a Health Team, to communicate knowledgeably with physicians, nurses, technicians and patients regarding the use of various imaging techniques. Emphasis will be placed on radiopharmaceuticals and contrast agents used with these procedures. The use of radioactive materials for in vitro and in vivo tests, and for radiation therapy, will be addressed. An understanding of the general principles underlying the biologic effects of various levels of radiation will assist the pharmacist in allaying patients' fears and misapprehensions regarding radioactivity.","This course will provide general knowledge regarding diagnostic imaging and radioactivity, and will allow the pharmacist to place a proper perspective on such common concerns in a community as: Radiation safety in general; Biological hazards of radioactive material and installations utilizing radioactivity (eg. xray units) in hospitals and in the community; Risk – benefit concepts in diagnostic imaging; General familiarity with imaging techniques/underlying principles.","This course will provide a basis for further training (either formally or on-the-job) which will provide the expertise for safe and effective handling, preparation and dispensing of radiopharmaceuticals and maintaining proper quality control and inventory.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 304 (Fall 2014 LAB LEC SEM),PHARM 304 Fa14 - HLTH PROF DRUG INFORMATION Combined LAB LEC SEM Fa14,2017,Fall,Cross Listed Courses,,3,Arno G. Siraki,,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 301 (LEC A1 Fa17),PHARM 301 PRINCIPLES OF DRUG ACTION (LEC A1 Fa17),2017,Fall,Faculty of Pharmacy and Pharmaceutical Sciences,BSc in Pharmacy,2.5,Carlos A. Velázquez,,2,39,"Given a chemical structure, students should be able to describe: (a) The acid/base properties of a drug molecule; (b) the water and lipid solubility of drug molecules; (c) which functional groups are more likely to be metabolized (chemical stability) by the body; (d) the stereochemical properties of drug molecules; (e) possible drug-drug and drug-food interactions.","Students should be able to explain, at a molecular level: (a) The principles governing the absorption, distribution, metabolism, excretion, and elimination of drugs; (b) the main biochemical pathways by which the human body metabolizes drugs.","Students should be able to describe, at a molecular level: (a) The types and bonding strengths exerted by drug molecules on biological targets (i.e. receptors or enzyme binding sites); (b) drug-receptor binding interactions and their relationship with the exerted pharmacologic activity; (c) the mechanisms of action by which drugs exert therapeutic and/or adverse effects; (d) the correlation between metabolic transformations and drug pharmacodynamics.","Students should be able to describe, at a molecular level, the physicochemical properties of drugs determining: (a) routes of administration; (b) commercial drug formulations (this will be complementary to the course “Pharmaceutics I”).","The concept of ""prodrug""; the most common types of prodrugs used in clinic.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 503 (Fall 2017 LEC A1 SEM E1),PHARM 503 Fa17 - ADVANCED PHARMACOTHERAPY Combined LEC SEM Fa17,2017,Fall,Cross Listed Courses,Doctor of Pharmacy (PharmD) for Practicing Pharmacists (full-time),6,Jill Hall,,8,34,"Outline the epidemiology, etiology, pathophysiology, and clinical presentation of the disease states covered, including: hypertension, cardiovascular risk reduction (dyslipidemia, obesity), heart failure, atrial fibrillation & stroke, diabetes, COPD, pain, depression/anxiety, arthritis, infectious diseases (pneumonia), selected oncology related complications, and selected geriatric medicine topics.",Demonstrate an understanding of key concepts in pharmacokinetics and therapeutic drug monitoring and apply pharmacokinetic principles to resolve drug therapy problems and optimize pharmacotherapy outcomes.,"Apply acquired therapeutic knowledge to confidently and competently manage medication therapy (including monitoring and follow-up) for patients with both the common disease states covered and those beyond, even if complex interplay between disease states exists. ","Demonstrate critical thinking, therapeutic knowledge, and the use of a therapeutic thought process (patient care process) in prioritizing and resolving a patient’s drug related problems, making appropriate recommendations related to ambiguous medication-related issues and those where evidence is limited or contradictory. ","Demonstrate the ability to research, critically appraise, and apply primary literature and clinical practice guidelines in the management of patients with a variety of disease states, consistently and efficiently integrating new knowledge into your therapeutic schema. ","Develop and defend a detailed care plan (with supporting chart documentation) to resolve and/or prevent drug related problems, applying principles of evidence-based medicine. ","Effectively translate therapeutic knowledge to patients with complex care issues and/or those of a sensitive nature that present challenges in communication, in a variety of settings. ","Demonstrate the self-directed learning, self-reflection, and peer assessment skills required for continuous professional development and precepting students. ","Apply the communication, collaboration, and leadership skills gained through teamwork to other professional team environments.",Demonstrate professional attitude and behaviour consistently and work collaboratively with other team members to optimize patients’ pharmacotherapy outcomes. ,Demonstrate respect for diversity of views and experiences.,Embrace self-directed and life-long learning. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 351 (LEC A1 Fa17),PHARM 351 BIOPHARMACEUTICS&PHARMACOKINET (LEC AL FA17),2017,Fall,Faculty of Pharmacy and Pharmaceutical Sciences,BSc in Pharmacy,2,Dr. Dion Brocks,,4,36,"Comprehend one and two compartmental models, including the underlying reasons for the appearance of more than one compartment in a plasma concentration vs. time profile.","Use the knowledge obtained from determination of pharmacokinetic parameters to devise an individualized dosing regimen for a patient, tailored to achieve a therapeutic goal of concentration and/or effect.",Comprehend concepts related to nonlinear elimination of drug.,Recognize factors that can influence the relationship between plasma concentrations and pharmacodynamics potency of drugs,Recognize the relationship between pharmacokinetics and therapeutic relevance in: a. Extremes of age b. Genetic differences in drug metabolism (polymorphism) c. Diminished renal function d. Concomitant administration of interacting drugs e. Drug disposition in maternal and infants (pregnancy and breastmilk,"Explain the following pharmacokinetic concepts:a. First and zero order rate processes. b. Rates, rate constants, and intercepts. c. Total body clearance (CL). d. Volume of distribution (Vd).","Understand the relationship between organ clearance and total body clearance, and detail the mechanisms involved in renal and hepatic drug clearance of a particular drug.","Identify the relationships between different pharmacokinetic parameters and blood fluid concentrations after drug administration by the intravenous, oral and injectable routes.",Grasp the concept of steady state and its dependency on half-life in relation to constant intravenous infusion and repeated dose administration.,"Determine CL, Vd, and other dependent pharmacokinetic parameters (half-life, maximum concentration after dosing, area under the concentration vs. time curve) from plasma concentration vs. time data.","Use knowledge related to measures of organ clearance to predict changes in blood levels when physiological 3 factors or clinical conditions are present that may affect blood flows, intrinsic clearance and transporter function.",Become proactive in including and considering concepts of therapeutic drug monitoring in practice skills.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 467 (Fall 2017 LEC A1 SEM E1),PHARM 467 Fa17 - ONCOLOGY Combined LEC SEM Fa17,2017,Fall,Cross Listed Courses,"Pharmaceutical Sciences,, BSc in Pharmacy, 2nd year",2,Dr. Victor Samokhvalov,,2,21,"Describe the epidemiology, etiology, and risk factors of the conditions of primary focus.",Describe the pathophysiology of common malignancies including clinical presentation and symptomology and long term health consequences.,"Apply concepts and knowledge of medicinal chemistry, pharmacology and therapeutic principles in selecting and monitoring drug therapy for the management of the conditions of primary focus.","Apply concepts and knowledge of medicinal chemistry, pharmacology and therapeutic principles in selecting and monitoring drug therapy for the management of the conditions of primary focus.",Explain the effects of drugs used in the management of cancer.,Describe the specific laboratory tests used in the diagnosis and monitoring of malignancies.,"Describe the therapeutic approach incorporating non-pharmacologic and pharmacologic treatments of the conditions of primary focus including use of specific target drugs for condition as well as alternative therapies (dose, route of administration, length of therapy, monitoring parameters)",Describe and manage the toxicity of medications used in the management of the conditions of primary focus.,Describe the societal and economic impact of the conditions of primary focus.,Appreciate the interdisciplinary approach to management of malignancies.,"Identify ethical issues surrounding treatment of malignancies, including palliative care.",Identify the role and the responsibility of the pharmacist within the course of the disease state and its therapy.,Identify applicable health system resources (for example drug interaction databases),Be able to do basic calculations (e.g. routine lab tests),Understand self-assessment for e.g. skin cancer,Be able to explain frequencies and age-ranges for cancer screening,"Understand and explain drug-drug interactions for chemotherapeutics and other medications (e.g. treatments for side-effects, medications for co-morbidities, CAMs, etc)",Be able to plan opioid and methadone rotations for palliative care,Know how to do mental estimation to prevent drug administration errors,Know the resources for preventing/reporting drug administration errors,Know how to respond to an oncology emergency,Understand the patient perspectives of their diagnosis and treatment,"Develop a caring, empathic attitude for patients battling various kinds of cancer","Understand the difference between physical and psychological addiction, specifically related to fears of patients undergoing palliative care.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 304 (Fall 2017 LAB LEC SEM),PHARM 304 Fa17 - HLTH PROF DRUG INFORMATION Combined LAB LEC SEM Fa17,2017,Fall,Cross Listed Courses,"Pharmacy Practice,, Behavioural, Social and Administrative Sciences, BSc in Pharmacy, 1st year",0.5,Ken Cor,,3,18,Describe the types of information found in some common pharmacy tertiary and secondary reference sources.,Identify the functions and services offered by the health sciences library.,Use library resources and library facilities effectively to access relevant drug information. ,"Obtain relevant background information from the client about the patient, disease, and/or drug.",Demonstrate a systematic step-wise approach to answer drug information requests.,Identify strengths and weaknesses of the secondary and tertiary resources commonly used. ,Determine the depth of response required for any given question. ,Formulate and communicate a clear and comprehensive verbal and/or written response that is appropriate to the requester's needs.,Follow-up on drug information requests where appropriate.,Apply legal and ethical principles to issues that may occur in practice.,Appreciate the professional responsibility to act for the benefit of the patient.Outline the pharmacists ethical obligations.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 524 (LEC 800 Fa17),"PHARM 524 FRAMEWORKS FOR TEAMS, COLLABORATION AND EDUCATION IN PHARMACY PRACTICE - PART 1 (Fa17)",2017,Fall,Faculty of Pharmacy and Pharmaceutical Sciences,Doctor of Pharmacy (PharmD) for Practicing Pharmacists (part-time),1,"Melanie Danilak, BSc. Pharm, ACPR, MEd ",,4,6,Discuss and contrast theories of groups,"Describe elements of group development, group dynamics, and group effectiveness.",Apply principles of program evaluation to plan and evaluate a group experience.,"Discuss and contrast theories of learning including: behavioral, cognitive, humanist, social cognitive, constructivist, critical.","Develop education plans using principles of needs assessment, planning, development, and evaluation for diverse audiences including professionals, public, patients and groups of patients.",Examine the relevance of learning styles in the education of professionals.,Present information and views effectively in written and oral presentation formats.,Apply critical thinking skills.,Facilitate professional learning.,Demonstrate collaboration in learning.,Demonstrate respect for diversity of views and experiences.,Demonstrate self-directed and life-long learning.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 489 (SEM A1 Fa17),PHARM 489 THERAP & PROF PRACT (SEM A1 Fa17),2017,Fall,Faculty of Pharmacy and Pharmaceutical Sciences,,3,Tony KL Kiang,,5,12,Demonstrate the ability to research and develop practical therapeutic knowledge for the management of several disease states.,"Demonstrate in-depth knowledge of a controversial topic, critical thinking skills, decision-making skills, and verbal communication skills.","Demonstrate use of a therapeutic process to identify, prioritize, and resolve actual and/or potential drug-related problems using a patient care centered approach.",Answer a focused clinical question and create a patient care plan using a systematic problem-solving approach.,"Demonstrate refinement of critical appraisal, written and oral communication skills.",Incorporate principles of evidence-based medicine into therapeutic decision making.,Demonstrate a confident and competent approach to solving patient concerns.,Utilize a seamless care approach to promote optimal patient outcomes in acute and chronic care settings.,Apply appropriate documentation skills to facilitate care throughout a variety of settings.,"Demonstrate appropriate presentation skills (i.e. content, language) through case presentations.",Demonstrate self-directed learning abilities and team skills.,Accept responsibility of keeping current with emerging therapeutic modalities.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 502 (Fall 2017 LAB D1 LEC A1),PHARM 502 Fa17 - ADV PATIENT CARE SKILLS HLTH Combined LAB LEC Fa17,2017,Fall,Cross Listed Courses,Doctor of Pharmacy (PharmD) for Practicing Pharmacists (full-time),3,Dr. Rene Breault,,5,28,Recognize the role and use of other specialized assessments used in patient care. ,"Identify and synthesize key concepts, processes, and relationships of pharmacy practice, patient assessment, care plan development and documentation",Recognize normal physical assessment findings,Utilize the following patient care skills: Physical assessment skills where appropriate; Assessment of other patient data (laboratory data); Documentation/communication of assessment ,Consistently and efficiently identify and categorize drug therapy problems in a given patient scenario ,"Demonstrate a systematic approach to performing a physical examination of a patient using all four modes of assessment: Inspection, Palpation, Percussion, Auscultation",Perform vital signs and blood pressure measurements,"Apply physical assessment findings of the following areas to medication therapy management: Vital signs, Skin, hair, nails, Head, ears, eyes, nose and throat, Cardiovascular system, Respiratory system, Peripheral vascular system, Nervous system, Musculoskeletal system",Interpret and convey assessment findings to other providers/clinicians as they relate to pharmacotherapy,Select and interpret appropriate laboratory tests to monitor drug therapy or screen for untreated conditions,"Assess various symptoms of patients with respect to history, physical and laboratory findings, and potential drug and disease causes.",Validate the importance of physical exam findings for the purpose of assessing and monitoring drug therapy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 300A (Fall 2017 LEC C1 SEM E1 E2),PHARM 300A Fa17 - EXPERIENTIAL LEARNING Fa17 - PART 1 Combined LEC SEM Fa17,2017,Fall,Cross Listed Courses,Masters of Science,1,Cheryl Cox,,7,7,Develop an understanding of the role and expectations of experiential learning in the curriculum ,Explore the understanding of professionalism as the ability to identify and negotiate the expectations of others,Demonstrate critical thinking and reflection to optimize learning from experience and care for clients,Develop the ability to build collaborative relationships with clients and staff,"Through collaborative relationships, demonstrate the ability to determine the needs and perspectives of the client /resident","Through critical reflection, enhance understanding of multiple perspectives and factors which inform person-centred care realizing the complexity and challenges",Demonstrate the provision of person-centred care for clients to enhance quality of life and fulfill professional obligations to individual(s) at the site,Explore how the critical thinking/reflective practice of person-centred care in Pharm 300 relates to the reflective practice of client centered care in pharmacy,Demonstrate initiative in service and learning ,Practice in an ethical manner to assure primary accountability to the client ,Explore the meanings of citizenship and community engagement within one’s experiences as a volunteer and professional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 306 (LEC A1 Fa17),PHARM 306 INTRO BIOMEDICAL SCIENCE (LEC A1 Fa17),2017,Fall,Faculty of Pharmacy and Pharmaceutical Sciences,BSc in Pharmacy,2.5,Ayman El-Kadi,,2,21,Describe the types and organization of muscles.,"Pharmacology: Describe how and why drugs interact with their targets, and how this affects the functioning of tissues",". Understand how and why drugs work in a concentration-dependent manner, and be familiar with related graphing approaches and core equations.",Understand basic processes governing pharmacokinetic behaviour of drugs.,Be familiar with the autonomic pharmacology of the eye as an example of basic principles governing drug mechanisms.,"Pathophysiology: Explain the events which occur in two major pathways of cell death, and in sublethal cell injury.","List seven basic classes of disease based on disease mechanisms, and give examples.",Discuss the molecular and cellular events underlying the different classes of disease.,Correlate drug therapy with disease mechanisms for representative major diseases.,"Anatomy: Describe cell structure, cell function and tissue types","Physiology: Describe body composition, body fluids, and fluid compartments.","Describe lysosomal function, membrane function and membrane transport.",Explain resting potential.,Describe membrane transport.,Describe action potential,Explain how the various sensory mechanisms function.,Describe nerve conduction and neuromuscular and synaptic transmission.,Define the types of toxins which create problems in the environment.,Explain the mechanism of toxicity of individual toxins which cause problems in the environment,Describe hazard identification and assessment methods,Determine dose-response assessment,Determine exposure assessment,Examine applicable Canadian and American legislation governing environmental discharge. Understand where forensic toxicology is used ,"Understand and use medical terminology related to disease, to a degree sufficient to understand the pathophysiology content in the subsequent blocks",Understand toxicity and safety assessment of natural health products,"Toxicology: Understand basic toxicological concepts, and the different areas of toxicology.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 501 (Fall 2017 LEC A1 SEM E1),PHARM 501 Fa17 - CRITICAL ANALYS EVIDENCE PRACT Combined LEC SEM Fa17,2017,Fall,Cross Listed Courses,Doctor of Pharmacy (PharmD) for Practicing Pharmacists (full-time),3,"Mark Makowsky, BSP, PharmD, ACPR",,5,23,"Formulate an answerable (i.e., focused) question.",Demonstrate an ability to search online databases including synthesized sources for the best evidence.,"Critically appraising various types of evidence for validity, clinical relevance, and applicability.",Apply evidence to clinical situations while individualizing recommendations based on clinical expertise and patient values.,Evaluate the effectiveness and efficiency of your educational process.,Demonstrate the EBCP process for answering clinical questions in practice.,"Formulate focused clinical questions using the PICO approach in the domains of Therapy, Harm, Prognosis, Diagnosis and Harm.",Describe available resources according to the 6S hierarchy of pre-appraised evidence and demonstrate the ability to search these resources to find the best evidence according to the type of question being asked.,"Compare, contrast and hierarchically categorize the most commonly encountered study designs by pharmacists in clinical practice according to the type of question being asked.",Effectively provide a verbal study synopsis.,"Critically appraise the most common types of clinical studies pertinent to clinical pharmacist practice for validity, clinical relevance, and applicability.  ",Calculate and interpret various estimates of treatment effect.,"Apply evidence, patient values, and clinical expertise and the principles of shared decision making to confidently & competently manage a patient’s medication therapy.",Demonstrate skills in self–directed learning and self-reflection as required for continuous professional development.,Apply verbal and written communication skills important for collaboration in professional team environments.,Confidently and competently teach a group of health care professionals about a discrete concept relevant to EBCP.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
